城市,维度,经度,开始时间,休息时间,hasArtwork,门店名,门店号,邮编
沈阳市,41.751905,123.43718999999999,10:00:00,21:30:00,False,沈阳新世界K11店,60152-294422,110000.0
沈阳市,41.780959,123.359256,7:30:00,21:30:00,False,沈阳万达店,3887-151624,110000.0
沈阳市,41.745458,123.40246499999999,8:00:00,21:30:00,False,沈阳长白大润发店,19094-196156,110000.0
沈阳市,41.803875,123.34516299999999,8:00:00,21:30:00,False,沈阳铁西兴隆大都汇分店,53337-284567,110000.0
沈阳市,41.742466,123.456181,9:00:00,22:00:00,False,沈阳浑南兴隆奥莱店,48241-253867,110000.0
沈阳市,41.737384000000006,123.45145900000001,8:00:00,21:30:00,False,沈阳万象生活城店,56760-290699,110000.0
沈阳市,41.734497,123.459121,7:30:00,22:00:00,False,沈阳浑南万达店,19678-202384,110000.0
沈阳市,41.728432,123.397155,8:00:00,22:00:00,False,沈阳长白万科鹿特丹店,56116-290047,110000.0
沈阳市,41.921254,123.400443,8:30:00,21:00:00,False,沈阳积家购物中心店,54122-286378,110000.0
沈阳市,41.844452000000004,123.621249,10:00:00,20:00:00,False,沈阳赛特奥莱店,16721-174864,110000.0
沈阳市,41.633286,123.493179,7:30:00,21:00:00,False,沈阳桃仙机场店,18846-195666,110000.0
沈阳市,41.63283,123.499117,7:30:00,21:00:00,False,沈阳桃仙机场到达门店,55791-289698,110000.0
抚顺市,41.864709999999995,123.902449,8:00:00,22:00:00,False,抚顺万达店,20302-204304,113000.0
辽阳市,41.258967,123.20955900000001,9:00:00,21:00:00,False,辽阳万达广场店,52781-282732,111000.0
本溪市,41.289888,123.780599,9:30:00,21:30:00,False,本溪万达广场星巴克店,57014-291020,117000.0
鞍山市,41.107061,123.057872,8:30:00,21:30:00,False,鞍山万达广场门店,59466-293713,114000.0
鞍山市,41.114472,122.991285,8:30:00,21:00:00,False,鞍山百盛店,19526-198725,114000.0
鞍山市,41.110713,122.99613400000001,8:00:00,21:00:00,False,鞍山新玛特分店,19601-198726,114000.0
鞍山市,41.108740000000004,122.984124,8:30:00,21:00:00,False,鞍山万象汇店,19677-201607,114000.0
西宁市,36.628008,101.760189,7:30:00,23:00:00,False,西宁新宁国芳百货,26084-241628,810000.0
西宁市,36.629856,101.75866500000001,8:00:00,23:00:00,False,西宁力盟商业巷店,26085-241627,810000.0
西宁市,36.643006,101.71634399999999,7:30:00,22:30:00,False,西宁海湖万达店,47231-255727,810000.0
南通市,31.889519,121.18593700000001,7:30:00,22:00:00,False,南通海门文峰大世界店,29102-252504,226000.0
南通市,31.895274,121.182121,7:00:00,22:30:00,False,海门大东方百货店,16163-168925,226000.0
南通市,31.880225,121.185093,8:30:00,22:00:00,False,南通海门龙信广场店,54129-286382,226000.0
